MJJCLBGC_00001	COG0527	[E] Aspartokinases     
MJJCLBGC_02075	COG4245	[R] Uncharacterized protein encoded in toxicity protection
MJJCLBGC_02077	COG0845	[M] Membrane-fusion protein    
MJJCLBGC_02078	COG0841	[V] Cation/multidrug efflux pump   
MJJCLBGC_02079	COG0841	[V] Cation/multidrug efflux pump   
MJJCLBGC_02080	COG0477	[GEPR] Permeases of the major facilitator superfamily
MJJCLBGC_02081	COG0642	[T] Signal transduction histidine kinase  
MJJCLBGC_02082	COG0745	[TK] Response regulators consisting of a CheY-like
MJJCLBGC_02083	COG3422	[S] Uncharacterized conserved protein   
MJJCLBGC_02084	COG0826	[O] Collagenase and related proteases  
MJJCLBGC_02085	ROG4411	
MJJCLBGC_02087	COG1597	[IR] Sphingosine kinase and enzymes related to
MJJCLBGC_02088	COG1349	[KG] Transcriptional regulators of sugar metabolism 
MJJCLBGC_02089	COG2963	[L] Transposase and inactivated derivatives  
MJJCLBGC_02090	COG2801	[L] Transposase and inactivated derivatives  
MJJCLBGC_02091	COG1349	[KG] Transcriptional regulators of sugar metabolism 
MJJCLBGC_02092	COG1063	[ER] Threonine dehydrogenase and related Zn-dependent dehydrogenases
MJJCLBGC_02093	COG3775	[G] Phosphotransferase system, galactitol-specific IIC component 
MJJCLBGC_02094	COG3775	[G] Phosphotransferase system, galactitol-specific IIC component 
MJJCLBGC_02095	COG3414	[G] Phosphotransferase system, galactitol-specific IIB component 
MJJCLBGC_02096	COG1762	[GT] Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)
MJJCLBGC_02097	COG4573	[G] Predicted tagatose 6-phosphate kinase  
MJJCLBGC_02098	COG0191	[G] Fructose/tagatose bisphosphate aldolase   
MJJCLBGC_02099	COG1830	[G] DhnA-type fructose-1,6-bisphosphate aldolase and related enzymes
MJJCLBGC_02101	COG1397	[O] ADP-ribosylglycohydrolase     
MJJCLBGC_02102	COG0524	[G] Sugar kinases, ribokinase family  
MJJCLBGC_02103	COG2188	[K] Transcriptional regulators    
MJJCLBGC_02104	COG3757	[M] Lyzozyme M1 (1,4-beta-N-acetylmuramidase)   
MJJCLBGC_02105	COG0351	[H] Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase    
MJJCLBGC_02106	COG2145	[H] Hydroxyethylthiazole kinase, sugar kinase family 
MJJCLBGC_02107	COG1937	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02108	COG2215	[R] ABC-type uncharacterized transport system, permease component
MJJCLBGC_02109	COG5455	[S] Predicted integral membrane protein  
MJJCLBGC_02111	COG3188	[NU] P pilus assembly protein, porin PapC
MJJCLBGC_02112	COG3121	[NU] P pilus assembly protein, chaperone PapD
MJJCLBGC_02113	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_02114	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_02115	COG0489	[D] ATPases involved in chromosome partitioning 
MJJCLBGC_02116	COG0143	[J] Methionyl-tRNA synthetase    
MJJCLBGC_02117	COG3831	[S] Uncharacterized conserved protein   
MJJCLBGC_02119	ROG5968	
MJJCLBGC_02120	ROG5968	
MJJCLBGC_02122	COG1401	[V] GTPase subunit of restriction endonuclease 
MJJCLBGC_02123	ROG0128	
MJJCLBGC_02124	ROG0128	
MJJCLBGC_02126	COG4808	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02127	COG4807	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02128	COG3279	[KT] Response regulator of the LytR/AlgR family
MJJCLBGC_02129	COG3275	[T] Putative regulator of cell autolysis 
MJJCLBGC_02130	COG2452	[L] Predicted site-specific integrase-resolvase   
MJJCLBGC_02132	COG1174	[E] ABC-type proline/glycine betaine transport systems, permease
MJJCLBGC_02133	COG1125	[E] ABC-type proline/glycine betaine transport systems, ATPase
MJJCLBGC_02134	COG1174	[E] ABC-type proline/glycine betaine transport systems, permease
MJJCLBGC_02135	COG1732	[M] Periplasmic glycine betaine/choline-binding (lipo)protein of an
MJJCLBGC_02136	COG1472	[G] Beta-glucosidase-related glycosidases    
MJJCLBGC_02137	COG0277	[C] FAD/FMN-containing dehydrogenases    
MJJCLBGC_02138	COG1686	[M] D-alanyl-D-alanine carboxypeptidase    
MJJCLBGC_02139	ROG0339	
MJJCLBGC_02140	COG0586	[S] Uncharacterized membrane-associated protein   
MJJCLBGC_02141	COG1028	[IQR] Dehydrogenases with different specificities (related to
MJJCLBGC_02142	COG1538	[MU] Outer membrane protein   
MJJCLBGC_02143	COG0042	[J] tRNA-dihydrouridine synthase    
MJJCLBGC_02144	COG1380	[R] Putative effector of murein hydrolase LrgA
MJJCLBGC_02145	COG1346	[M] Putative effector of murein hydrolase 
MJJCLBGC_02146	COG0295	[F] Cytidine deaminase    
MJJCLBGC_02147	COG2949	[S] Uncharacterized membrane protein   
MJJCLBGC_02149	COG0493	[ER] NADPH-dependent glutamate synthase beta chain and
MJJCLBGC_02150	COG0167	[F] Dihydroorotate dehydrogenase    
MJJCLBGC_02151	COG4211	[G] ABC-type glucose/galactose transport system, permease component
MJJCLBGC_02152	COG1129	[G] ABC-type sugar transport system, ATPase component
MJJCLBGC_02153	COG1879	[G] ABC-type sugar transport system, periplasmic component
MJJCLBGC_02154	COG1609	[K] Transcriptional regulators    
MJJCLBGC_02155	COG2311	[S] Predicted membrane protein   
MJJCLBGC_02156	COG0302	[H] GTP cyclohydrolase I   
MJJCLBGC_02157	COG0627	[R] Predicted esterase    
MJJCLBGC_02158	COG4771	[P] Outer membrane receptor for ferrienterochelin and
MJJCLBGC_02159	COG0833	[E] Amino acid transporters   
MJJCLBGC_02160	COG0583	[K] Transcriptional regulator    
MJJCLBGC_02161	COG2855	[S] Predicted membrane protein   
MJJCLBGC_02162	COG0648	[L] Endonuclease IV    
MJJCLBGC_02163	COG0524	[G] Sugar kinases, ribokinase family  
MJJCLBGC_02164	COG1972	[F] Nucleoside permease    
MJJCLBGC_02165	COG1957	[F] Inosine-uridine nucleoside N-ribohydrolase   
MJJCLBGC_02166	COG0664	[T] cAMP-binding proteins - catabolite gene activator
MJJCLBGC_02167	COG1972	[F] Nucleoside permease    
MJJCLBGC_02168	COG2313	[Q] Uncharacterized enzyme involved in pigment biosynthesis
MJJCLBGC_02169	COG0524	[G] Sugar kinases, ribokinase family  
MJJCLBGC_02170	COG1299	[G] Phosphotransferase system, fructose-specific IIC component 
MJJCLBGC_02171	COG1105	[G] Fructose-1-phosphate kinase and related fructose-6-phosphate kinase
MJJCLBGC_02172	COG4668	[G] Mannitol/fructose-specific phosphotransferase system, IIA domain 
MJJCLBGC_02173	COG3619	[S] Predicted membrane protein   
MJJCLBGC_02174	COG0727	[R] Predicted Fe-S-cluster oxidoreductase   
MJJCLBGC_02175	COG0231	[J] Translation elongation factor P (EF-P)/translation initiation
MJJCLBGC_02176	COG0246	[G] Mannitol-1-phosphate/altronate dehydrogenases    
MJJCLBGC_02177	COG0523	[R] Putative GTPases (G3E family)  
MJJCLBGC_02178	ROG3410	
MJJCLBGC_02179	COG0791	[M] Cell wall-associated hydrolases (invasion-associated proteins) 
MJJCLBGC_02180	COG2200	[T] FOG: EAL domain   
MJJCLBGC_02181	COG0747	[E] ABC-type dipeptide transport system, periplasmic component
MJJCLBGC_02182	COG4174	[R] ABC-type uncharacterized transport system, permease component
MJJCLBGC_02183	COG4239	[R] ABC-type uncharacterized transport system, permease component
MJJCLBGC_02184	COG4172	[R] ABC-type uncharacterized transport system, duplicated ATPase
MJJCLBGC_02186	COG2814	[G] Arabinose efflux permease   
MJJCLBGC_02187	COG1187	[J] 16S rRNA uridine-516 pseudouridylate synthase and
MJJCLBGC_02188	COG1061	[KL] DNA or RNA helicases of superfamily
MJJCLBGC_02189	COG1825	[J] Ribosomal protein L25 (general stress protein
MJJCLBGC_02190	COG3081	[R] Nucleoid-associated protein    
MJJCLBGC_02191	COG3082	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02192	COG3083	[R] Predicted hydrolase of alkaline phosphatase superfamily
MJJCLBGC_02194	COG3468	[MU] Type V secretory pathway, adhesin AidA
MJJCLBGC_02195	COG3039	[L] Transposase and inactivated derivatives, IS5 family
MJJCLBGC_02196	COG2197	[TK] Response regulator containing a CheY-like receiver
MJJCLBGC_02197	COG3088	[O] Uncharacterized protein involved in biosynthesis of
MJJCLBGC_02198	COG0526	[OC] Thiol-disulfide isomerase and thioredoxins  
MJJCLBGC_02199	COG1138	[O] Cytochrome c biogenesis factor  
MJJCLBGC_02200	COG2332	[O] Cytochrome c-type biogenesis protein CcmE 
MJJCLBGC_02201	COG3114	[U] Heme exporter protein D  
MJJCLBGC_02202	COG0755	[O] ABC-type transport system involved in cytochrome
MJJCLBGC_02203	COG2386	[O] ABC-type transport system involved in cytochrome
MJJCLBGC_02204	COG4133	[O] ABC-type transport system involved in cytochrome
MJJCLBGC_02205	COG3005	[C] Nitrate/TMAO reductases, membrane-bound tetraheme cytochrome c
MJJCLBGC_02206	COG3043	[C] Nitrate reductase cytochrome c-type subunit 
MJJCLBGC_02207	COG0348	[C] Polyferredoxin     
MJJCLBGC_02208	COG1145	[C] Ferredoxin     
MJJCLBGC_02209	COG0243	[C] Anaerobic dehydrogenases, typically selenocysteine-containing  
MJJCLBGC_02210	COG3062	[P] Uncharacterized protein involved in formation of
MJJCLBGC_02211	COG1145	[C] Ferredoxin     
MJJCLBGC_02213	COG4574	[R] Serine protease inhibitor ecotin  
MJJCLBGC_02214	COG0579	[R] Predicted dehydrogenase    
MJJCLBGC_02215	COG4615	[QP] ABC-type siderophore export system, fused ATPase
MJJCLBGC_02216	COG3145	[L] Alkylated DNA repair protein  
MJJCLBGC_02217	COG2169	[F] Adenosine deaminase    
MJJCLBGC_02218	COG1477	[H] Membrane-associated lipoprotein involved in thiamine biosynthesis
MJJCLBGC_02219	COG3203	[M] Outer membrane protein (porin)  
MJJCLBGC_02220	COG2198	[T] FOG: HPt domain   
MJJCLBGC_02221	COG2197	[TK] Response regulator containing a CheY-like receiver
MJJCLBGC_02222	COG0642	[T] Signal transduction histidine kinase  
MJJCLBGC_02223	COG4191	[T] Signal transduction histidine kinase regulating C4-dicarboxylate
MJJCLBGC_02224	COG2204	[T] Response regulator containing CheY-like receiver, AAA-type
MJJCLBGC_02225	COG1788	[I] Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit
MJJCLBGC_02226	COG2057	[I] Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit
MJJCLBGC_02227	COG2031	[I] Short chain fatty acids transporter 
MJJCLBGC_02228	COG0183	[I] Acetyl-CoA acetyltransferase    
MJJCLBGC_02229	COG4676	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02230	COG5445	[S] Predicted secreted protein   
MJJCLBGC_02231	COG2373	[R] Large extracellular alpha-helical protein  
MJJCLBGC_02232	COG2373	[R] Large extracellular alpha-helical protein  
MJJCLBGC_02233	COG3234	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02234	COG4685	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02235	COG0188	[L] Type IIA topoisomerase (DNA gyrase/topo II,
MJJCLBGC_02236	COG2227	[H] 2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase    
MJJCLBGC_02237	COG3468	[MU] Type V secretory pathway, adhesin AidA
MJJCLBGC_02238	COG0209	[F] Ribonucleotide reductase, alpha subunit  
MJJCLBGC_02239	COG0208	[F] Ribonucleotide reductase, beta subunit  
MJJCLBGC_02240	COG0633	[C] Ferredoxin     
MJJCLBGC_02241	ROG4187	
MJJCLBGC_02243	COG0584	[C] Glycerophosphoryl diester phosphodiesterase   
MJJCLBGC_02244	COG2271	[G] Sugar phosphate permease   
MJJCLBGC_02245	COG0578	[C] Glycerol-3-phosphate dehydrogenase    
MJJCLBGC_02246	COG3075	[E] Anaerobic glycerol-3-phosphate dehydrogenase   
MJJCLBGC_02247	COG0247	[C] Fe-S oxidoreductase    
MJJCLBGC_02248	COG5464	[S] Uncharacterized conserved protein   
MJJCLBGC_02249	COG5464	[S] Uncharacterized conserved protein   
MJJCLBGC_02250	COG3836	[G] 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase   
MJJCLBGC_02251	COG3247	[S] Uncharacterized conserved protein   
MJJCLBGC_02252	COG4948	[MR] L-alanine-DL-glutamate epimerase and related enzymes of
MJJCLBGC_02253	COG1414	[K] Transcriptional regulator    
MJJCLBGC_02254	COG1058	[R] Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis
MJJCLBGC_02255	ROG1990	
MJJCLBGC_02256	COG1051	[F] ADP-ribose pyrophosphatase    
MJJCLBGC_02257	ROG3466	
MJJCLBGC_02258	COG0399	[M] Predicted pyridoxal phosphate-dependent enzyme apparently involved
MJJCLBGC_02259	COG0463	[M] Glycosyltransferases involved in cell wall biogenesis
MJJCLBGC_02260	COG0223	[J] Methionyl-tRNA formyltransferase    
MJJCLBGC_02261	COG0726	[G] Predicted xylanase/chitin deacetylase   
MJJCLBGC_02262	COG1807	[M] 4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of
MJJCLBGC_02263	COG0697	[GER] Permeases of the drug/metabolite transporter (DMT)
MJJCLBGC_02266	COG0318	[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
MJJCLBGC_02267	COG1441	[H] O-succinylbenzoate synthase    
MJJCLBGC_02268	COG0447	[H] Dihydroxynaphthoic acid synthase   
MJJCLBGC_02269	COG0596	[R] Predicted hydrolases or acyltransferases (alpha/beta hydrolase
MJJCLBGC_02270	COG1165	[H] 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase    
MJJCLBGC_02271	COG1169	[HQ] Isochorismate synthase    
MJJCLBGC_02272	COG4575	[S] Uncharacterized conserved protein   
MJJCLBGC_02273	COG2153	[R] Predicted acyltransferase    
MJJCLBGC_02274	COG1234	[R] Metal-dependent hydrolases of the beta-lactamase superfamily
MJJCLBGC_02276	COG2304	[R] Uncharacterized protein containing a von Willebrand
MJJCLBGC_02277	COG2234	[R] Predicted aminopeptidases    
MJJCLBGC_02278	ROG5086	
MJJCLBGC_02279	ROG0383	
MJJCLBGC_02281	COG0457	[R] FOG: TPR repeat   
MJJCLBGC_02282	COG1007	[C] NADH:ubiquinone oxidoreductase subunit 2 (chain N)
MJJCLBGC_02283	COG1008	[C] NADH:ubiquinone oxidoreductase subunit 4 (chain M)
MJJCLBGC_02284	COG1009	[CP] NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit
MJJCLBGC_02285	COG0713	[C] NADH:ubiquinone oxidoreductase subunit 11 or 4L
MJJCLBGC_02286	COG0839	[C] NADH:ubiquinone oxidoreductase subunit 6 (chain J)
MJJCLBGC_02287	COG1143	[C] Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23
MJJCLBGC_02288	COG1005	[C] NADH:ubiquinone oxidoreductase subunit 1 (chain H)
MJJCLBGC_02289	COG1034	[C] NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit
MJJCLBGC_02290	COG1894	[C] NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit
MJJCLBGC_02291	COG1905	[C] NADH:ubiquinone oxidoreductase 24 kD subunit 
MJJCLBGC_02292	COG0649	[C] NADH:ubiquinone oxidoreductase 49 kD subunit 7
MJJCLBGC_02293	COG0377	[C] NADH:ubiquinone oxidoreductase 20 kD subunit and
MJJCLBGC_02294	COG0838	[C] NADH:ubiquinone oxidoreductase subunit 3 (chain A)
MJJCLBGC_02296	COG0583	[K] Transcriptional regulator    
MJJCLBGC_02297	COG0436	[E] Aspartate/tyrosine/aromatic aminotransferase    
MJJCLBGC_02298	COG1896	[R] Predicted hydrolases of HD superfamily 
MJJCLBGC_02299	COG0471	[P] Di- and tricarboxylate transporters  
MJJCLBGC_02300	COG0637	[R] Predicted phosphatase/phosphohexomutase    
MJJCLBGC_02301	COG3013	[S] Uncharacterized conserved protein   
MJJCLBGC_02302	COG3092	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02303	COG0282	[C] Acetate kinase    
MJJCLBGC_02304	COG0280	[C] Phosphotransacetylase     
MJJCLBGC_02305	COG1288	[S] Predicted membrane protein   
MJJCLBGC_02306	COG0494	[LR] NTP pyrophosphohydrolases including oxidative damage repair
MJJCLBGC_02307	COG0622	[R] Predicted phosphoesterase    
MJJCLBGC_02308	COG0625	[O] Glutathione S-transferase    
MJJCLBGC_02309	COG0625	[O] Glutathione S-transferase    
MJJCLBGC_02310	COG1539	[H] Dihydroneopterin aldolase    
MJJCLBGC_02311	COG1090	[R] Predicted nucleoside-diphosphate sugar epimerase  
MJJCLBGC_02312	COG5464	[S] Uncharacterized conserved protein   
MJJCLBGC_02313	COG4598	[E] ABC-type histidine transport system, ATPase component
MJJCLBGC_02314	COG4160	[E] ABC-type arginine/histidine transport system, permease component
MJJCLBGC_02315	COG4215	[E] ABC-type arginine transport system, permease component
MJJCLBGC_02316	COG0834	[ET] ABC-type amino acid transport/signal transduction systems,
MJJCLBGC_02317	COG0834	[ET] ABC-type amino acid transport/signal transduction systems,
MJJCLBGC_02318	COG0163	[H] 3-polyprenyl-4-hydroxybenzoate decarboxylase    
MJJCLBGC_02319	COG0034	[F] Glutamine phosphoribosylpyrophosphate amidotransferase   
MJJCLBGC_02320	COG1286	[R] Uncharacterized membrane protein, required for colicin
MJJCLBGC_02321	COG3147	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02322	COG0285	[H] Folylpolyglutamate synthase    
MJJCLBGC_02323	COG0777	[I] Acetyl-CoA carboxylase beta subunit  
MJJCLBGC_02324	COG0586	[S] Uncharacterized membrane-associated protein   
MJJCLBGC_02325	COG0101	[J] Pseudouridylate synthase    
MJJCLBGC_02326	COG0136	[E] Aspartate-semialdehyde dehydrogenase    
MJJCLBGC_02327	COG0111	[HE] Phosphoglycerate dehydrogenase and related dehydrogenases 
MJJCLBGC_02330	COG0304	[IQ] 3-oxoacyl-(acyl-carrier-protein) synthase    
MJJCLBGC_02331	COG4121	[S] Uncharacterized conserved protein   
MJJCLBGC_02332	ROG4992	
MJJCLBGC_02333	COG3101	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02334	COG0730	[R] Predicted permeases    
MJJCLBGC_02335	COG3770	[M] Murein endopeptidase    
MJJCLBGC_02336	COG0082	[E] Chorismate synthase    
MJJCLBGC_02337	COG2890	[J] Methylase of polypeptide chain release factors
MJJCLBGC_02338	COG2840	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02340	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_02341	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_02342	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_02343	COG3121	[NU] P pilus assembly protein, chaperone PapD
MJJCLBGC_02344	COG3188	[NU] P pilus assembly protein, porin PapC
MJJCLBGC_02345	COG3188	[NU] P pilus assembly protein, porin PapC
MJJCLBGC_02346	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_02347	COG2062	[T] Phosphohistidine phosphatase SixA   
MJJCLBGC_02348	COG1250	[I] 3-hydroxyacyl-CoA dehydrogenase    
MJJCLBGC_02349	COG0183	[I] Acetyl-CoA acetyltransferase    
MJJCLBGC_02350	COG3691	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02351	COG2067	[I] Long-chain fatty acid transport protein 
MJJCLBGC_02353	COG2853	[M] Surface lipoprotein    
MJJCLBGC_02354	COG2116	[P] Formate/nitrite family of transporters  
MJJCLBGC_02356	COG0582	[L] Integrase     
MJJCLBGC_02357	COG0463	[M] Glycosyltransferases involved in cell wall biogenesis
MJJCLBGC_02358	ROG1883	
MJJCLBGC_02360	ROG5293	
MJJCLBGC_02363	ROG5267	
MJJCLBGC_02366	COG5532	[S] Uncharacterized conserved protein   
MJJCLBGC_02367	COG1896	[R] Predicted hydrolases of HD superfamily 
MJJCLBGC_02370	COG3311	[K] Predicted transcriptional regulator   
MJJCLBGC_02371	COG0583	[K] Transcriptional regulator    
MJJCLBGC_02372	COG2610	[GE] H+/gluconate symporter and related permeases 
MJJCLBGC_02373	COG3048	[E] D-serine dehydratase    
MJJCLBGC_02375	COG1566	[V] Multidrug resistance efflux pump  
MJJCLBGC_02376	COG2197	[TK] Response regulator containing a CheY-like receiver
MJJCLBGC_02377	COG0642	[T] Signal transduction histidine kinase  
MJJCLBGC_02378	COG1804	[C] Predicted acyl-CoA transferases/carnitine dehydratase  
MJJCLBGC_02379	COG0679	[R] Predicted permeases    
MJJCLBGC_02380	COG3960	[R] Glyoxylate carboligase    
MJJCLBGC_02381	COG1804	[C] Predicted acyl-CoA transferases/carnitine dehydratase  
MJJCLBGC_02382	ROG1668	
MJJCLBGC_02384	COG3856	[S] Uncharacterized conserved protein (small basic protein)
MJJCLBGC_02385	COG1560	[M] Lauroyl/myristoyl acyltransferase    
MJJCLBGC_02386	COG0436	[E] Aspartate/tyrosine/aromatic aminotransferase    
MJJCLBGC_02387	COG3275	[T] Putative regulator of cell autolysis 
MJJCLBGC_02388	COG3279	[KT] Response regulator of the LytR/AlgR family
MJJCLBGC_02389	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_02390	COG1080	[G] Phosphoenolpyruvate-protein kinase (PTS system EI component
MJJCLBGC_02391	COG1363	[G] Cellulase M and related proteins 
MJJCLBGC_02392	COG0006	[E] Xaa-Pro aminopeptidase    
MJJCLBGC_02393	COG1299	[G] Phosphotransferase system, fructose-specific IIC component 
MJJCLBGC_02394	COG1445	[G] Phosphotransferase system fructose-specific component IIB 
MJJCLBGC_02395	COG0837	[G] Glucokinase     
MJJCLBGC_02396	ROG4630	
MJJCLBGC_02397	ROG0756	
MJJCLBGC_02398	COG1914	[P] Mn2+ and Fe2+ transporters of the
MJJCLBGC_02399	COG1972	[F] Nucleoside permease    
MJJCLBGC_02400	COG3385	[L] FOG: Transposase and inactivated derivatives 
MJJCLBGC_02402	COG2200	[T] FOG: EAL domain   
MJJCLBGC_02405	ROG3866	
MJJCLBGC_02406	ROG0229	
MJJCLBGC_02407	COG0008	[J] Glutamyl- and glutaminyl-tRNA synthetases  
MJJCLBGC_02412	COG0583	[K] Transcriptional regulator    
MJJCLBGC_02414	COG0005	[F] Purine nucleoside phosphorylase   
MJJCLBGC_02415	ROG0103	
MJJCLBGC_02416	COG0583	[K] Transcriptional regulator    
MJJCLBGC_02417	COG0385	[R] Predicted Na+-dependent transporter   
MJJCLBGC_02418	COG3530	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02419	COG0272	[L] NAD-dependent DNA ligase (contains BRCT domain
MJJCLBGC_02420	COG3115	[D] Cell division protein   
MJJCLBGC_02421	COG2981	[E] Uncharacterized protein involved in cysteine biosynthesis
MJJCLBGC_02422	COG0031	[E] Cysteine synthase    
MJJCLBGC_02423	COG1925	[G] Phosphotransferase system, HPr-related proteins  
MJJCLBGC_02424	COG1080	[G] Phosphoenolpyruvate-protein kinase (PTS system EI component
MJJCLBGC_02425	COG2190	[G] Phosphotransferase system IIA components  
MJJCLBGC_02426	COG2240	[H] Pyridoxal/pyridoxine/pyridoxamine kinase    
MJJCLBGC_02427	COG0173	[J] Aspartyl-tRNA synthetase    
MJJCLBGC_02428	COG4884	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02429	COG0031	[E] Cysteine synthase    
MJJCLBGC_02430	COG1118	[P] ABC-type sulfate/molybdate transport systems, ATPase component
MJJCLBGC_02431	COG4208	[P] ABC-type sulfate transport system, permease component
MJJCLBGC_02432	COG0555	[O] ABC-type sulfate transport system, permease component
MJJCLBGC_02433	COG4150	[P] ABC-type sulfate transport system, periplasmic component
MJJCLBGC_02434	COG1028	[IQR] Dehydrogenases with different specificities (related to
MJJCLBGC_02435	COG1737	[K] Transcriptional regulators    
MJJCLBGC_02436	COG2103	[R] Predicted sugar phosphate isomerase  
MJJCLBGC_02437	COG1264	[G] Phosphotransferase system IIB components  
MJJCLBGC_02438	COG1680	[V] Beta-lactamase class C and other penicillin
MJJCLBGC_02439	COG2837	[P] Predicted iron-dependent peroxidase   
MJJCLBGC_02441	ROG4313	
MJJCLBGC_02442	COG0454	[KR] Histone acetyltransferase HPA2 and related acetyltransferases
MJJCLBGC_02443	COG0860	[M] N-acetylmuramoyl-L-alanine amidase    
MJJCLBGC_02444	COG0408	[H] Coproporphyrinogen III oxidase   
MJJCLBGC_02445	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_02446	COG4577	[QC] Carbon dioxide concentrating mechanism/carboxysome shell protein
MJJCLBGC_02447	COG4816	[E] Ethanolamine utilization protein   
MJJCLBGC_02448	COG4302	[E] Ethanolamine ammonia-lyase, small subunit  
MJJCLBGC_02449	COG4303	[E] Ethanolamine ammonia-lyase, large subunit  
MJJCLBGC_02450	COG0582	[L] Integrase     
MJJCLBGC_02454	COG1710	[S] Uncharacterized protein conserved in archaea 
MJJCLBGC_02459	COG4819	[E] Ethanolamine utilization protein, possible chaperonin protecting
MJJCLBGC_02460	COG3192	[E] Ethanolamine utilization protein   
MJJCLBGC_02461	COG1454	[C] Alcohol dehydrogenase, class IV  
MJJCLBGC_02462	COG4820	[E] Ethanolamine utilization protein, possible chaperonin 
MJJCLBGC_02464	COG4576	[QC] Carbon dioxide concentrating mechanism/carboxysome shell protein
MJJCLBGC_02465	COG4577	[QC] Carbon dioxide concentrating mechanism/carboxysome shell protein
MJJCLBGC_02466	COG0280	[C] Phosphotransacetylase     
MJJCLBGC_02467	COG4812	[E] Ethanolamine utilization cobalamin adenosyltransferase  
MJJCLBGC_02468	COG4766	[E] Ethanolamine utilization protein   
MJJCLBGC_02469	COG4917	[E] Ethanolamine utilization protein   
MJJCLBGC_02470	COG4810	[E] Ethanolamine utilization protein   
MJJCLBGC_02471	COG0281	[C] Malic enzyme    
MJJCLBGC_02472	COG0176	[G] Transaldolase     
MJJCLBGC_02473	COG0021	[G] Transketolase     
MJJCLBGC_02474	ROG3302	
MJJCLBGC_02475	COG0494	[LR] NTP pyrophosphohydrolases including oxidative damage repair
MJJCLBGC_02476	COG0493	[ER] NADPH-dependent glutamate synthase beta chain and
MJJCLBGC_02477	COG3850	[T] Signal transduction histidine kinase, nitrate/nitrite-specific 
MJJCLBGC_02478	COG0841	[V] Cation/multidrug efflux pump   
MJJCLBGC_02479	COG1393	[P] Arsenate reductase and related proteins, glutaredoxin
MJJCLBGC_02480	COG0624	[E] Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases
MJJCLBGC_02482	COG0400	[R] Predicted esterase    
MJJCLBGC_02483	COG1444	[R] Predicted P-loop ATPase fused to an
MJJCLBGC_02484	COG2321	[R] Predicted metalloprotease    
MJJCLBGC_02485	COG0152	[F] Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase   
MJJCLBGC_02486	COG4332	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_02487	COG3317	[M] Uncharacterized lipoprotein    
MJJCLBGC_02488	COG0329	[EM] Dihydrodipicolinate synthase/N-acetylneuraminate lyase   
MJJCLBGC_02489	COG2716	[E] Glycine cleavage system regulatory protein 
MJJCLBGC_02490	COG1225	[O] Peroxiredoxin     
MJJCLBGC_02491	COG1142	[C] Fe-S-cluster-containing hydrogenase components 2  
MJJCLBGC_02492	COG0651	[CP] Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter,
MJJCLBGC_02493	COG0650	[C] Formate hydrogenlyase subunit 4  
MJJCLBGC_02494	COG1009	[CP] NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit
